customer_no,total_enq_amt,total_enq_count
1,4981150.0,18
2,6676682006.0,68
3,3400000.0,1
4,50810000.0,34
5,2000.0,2
6,135624001.0,27
7,50000.0,1
8,179300200.0,17
9,174430000.0,19
10,114492667.0,21
11,290222031.0,25
12,891889962.0,26
13,50610602.0,22
14,516151.0,22
15,1500000.0,6
16,327928915.0,44
17,5982021000.0,35
18,7950990.0,9
19,154300.0,10
20,740803000.0,30
21,395551000.0,9
22,0.0,0
23,1558545000.0,21
24,4745000.0,13
25,124000.0,6
26,2000.0,2
27,4600000.0,3
28,18299000.0,22
29,11077000.0,9
30,875000.0,3
31,15196100.0,11
32,121000.0,5
33,5000000.0,5
34,12500000.0,10
35,116626000.0,11
36,30151000.0,7
37,72025000.0,9
38,30010000.0,2
39,14372001.0,10
40,276000.0,5
41,1150200.0,6
42,117300000.0,5
43,573050013.0,111
44,544471773.0,25
45,151289300.0,17
46,44580000.0,12
47,101000.0,3
48,96311029.0,117
49,1989100.0,14
50,3288278003.0,37
51,293483609.0,97
52,22451000.0,8
53,1243317450.0,45
54,1091250.0,21
55,116000.0,4
56,262001.0,9
57,40523573.0,28
58,150000.0,3
59,1542039501.0,17
60,1902215004.0,65
61,165000.0,3
62,11362000.0,7
63,60100.0,3
64,3715100.0,20
65,6836382111.0,93
66,586300000.0,8
67,5029143.0,18
68,5383100.0,25
69,50060000.0,5
70,3672000.0,20
71,64722681.0,28
72,54591001.0,22
73,14276150.0,12
74,5151000.0,14
75,50000.0,1
76,102325985.0,33
77,25750100.0,7
78,1462000.0,5
79,5293500.0,9
80,180534001.0,17
81,52190000.0,8
82,62042637.0,12
83,6242000.0,5
84,19280000.0,6
85,84550000.0,15
86,6565692.0,16
87,195640006.0,44
88,174617600.0,36
89,26942000.0,54
90,586101000.0,31
91,428815101.0,28
92,3102000.0,7
93,91000.0,5
94,2400000.0,2
95,623700.0,13
96,756297.0,18
97,1748000.0,21
98,1585990.0,18
99,2012000.0,16
100,2467003.0,19
101,111000.0,4
102,321000.0,6
103,9214000.0,22
104,696604.0,5
105,2701000.0,16
106,235200.0,10
107,277000.0,6
108,2292100.0,21
109,52000.0,3
110,41292600.0,45
111,555200.0,13
112,2783780.0,34
113,776002.0,17
114,3004841.0,28
115,1533120.0,21
116,296000.0,8
117,1573500.0,16
118,8799501.0,72
119,15390500.0,10
120,1562000.0,11
121,98000.0,5
122,201198500.0,19
123,210000.0,7
124,76000.0,4
125,76543299.0,41
126,2415174.0,32
127,2224001.0,15
128,538500.0,7
129,101000.0,3
130,823000.0,18
131,149000.0,6
132,876000.0,10
133,100000.0,2
134,7824990.0,33
135,3212100.0,42
136,105080200.0,36
137,4000.0,4
138,371000.0,8
139,932001.0,15
140,305224168.0,45
141,7774000.0,9
142,3085000.0,11
143,1764000.0,16
144,10442100.0,18
145,593532.0,15
146,313002.0,8
147,2823000.0,13
148,698500.0,9
149,11251000.0,6
150,61000.0,3
151,1257798.0,28
152,2102300.0,34
153,5980000.0,64
154,202000.0,18
155,29200.0,2
156,1101000.0,11
157,26488100.0,29
158,425681.0,12
159,414000.0,10
160,788000.0,11
161,11000.0,2
162,437000.0,3
163,4712800.0,20
164,86000.0,5
165,956000.0,23
166,4087600.0,37
167,231000.0,8
168,110576201.0,59
169,114000.0,4
170,176000.0,6
171,2488920.0,18
172,197000.0,12
173,3973137.0,28
174,31601.0,3
175,955002.0,7
176,46630838.0,92
177,1015000.0,7
178,491501.0,16
179,792880.0,19
180,199550.0,5
181,792000.0,9
182,3297501.0,14
183,315000.0,6
184,101572001.0,30
185,638602.0,19
186,2135200.0,25
187,1920001.0,14
188,1703000.0,21
189,708100.0,8
190,631750.0,15
191,2604000.0,26
192,4857071.0,32
193,248560.0,8
194,206764600.0,16
195,52000.0,3
196,3998500.0,13
197,3159834.0,58
198,2676000.0,6
199,10829002.0,61
200,664000.0,11
201,1270100.0,17
202,4022949.0,26
203,1643000.0,67
204,1037000.0,13
205,966000.0,33
206,2767200.0,12
207,2598000.0,10
208,996000.0,11
209,4137200.0,42
210,737500.0,17
211,1174001.0,21
212,987000.0,10
213,2486000.0,22
214,11633000.0,15
215,4195901.0,27
216,152000.0,5
217,5123247.0,23
218,1221500.0,14
219,213900.0,5
220,3074942.0,19
221,229000.0,12
222,3893000.0,17
223,367000.0,11
224,5202895.0,19
225,192000.0,6
226,179300.0,4
227,123008.0,3
228,113000.0,5
229,5392000.0,34
230,709000.0,11
231,2786591.0,15
232,883000.0,11
233,1034001.0,9
234,367900.0,6
235,2997100.0,27
236,1333000.0,13
237,854000.0,3
238,366000.0,10
239,245000.0,7
240,6365100.0,11
241,100090000.0,6
242,150100.0,3
243,590000.0,20
244,2483627.0,25
245,5459300.0,28
246,2713000.0,14
247,114358571.0,79
248,4216250.0,34
249,2431000.0,18
250,887000.0,10
251,2205000.0,20
252,273000.0,9
253,1597500.0,26
254,666500.0,6
255,3376395.0,36
256,3886000.0,9
257,4243001.0,13
258,2938000.0,16
259,707001.0,13
260,10165200.0,25
261,113005.0,5
262,2311556.0,27
263,3027101.0,17
264,627000.0,16
265,3491920.0,34
266,6560000.0,3
267,4126000.0,15
268,221000.0,6
269,9884000.0,33
270,8806001.0,43
271,1717000.0,10
272,391000.0,11
273,21327000.0,24
274,1805900.0,21
275,167000.0,5
